customer_id,full_name,email,phone_number,address,nationality,identity_number
1,Daniel Holloway,customer1@example.com,059-041-0571x34489,"7483 John Isle Suite 265
Hodgesmouth, UT 84414",Kyrgyz Republic,711-34-9332
2,Angela Francis,customer2@example.com,001-079-682-3605,"030 Mckenzie Branch Suite 939
Johnsonland, WI 03289",Slovenia,388-91-7335
3,Christopher Charles,customer3@example.com,+1-512-070-8954x8992,"5813 Christine Plaza Suite 441
Jeffreyport, NE 48174",Russian Federation,877-85-5610
4,Scott Powell,customer4@example.com,001-409-112-1651x645,"2603 Mario Lights Suite 788
New Nicole, WV 86186",Saint Martin,750-15-7767
5,Garrett Richards,customer5@example.com,187-829-1481x78660,"821 Gray Station Apt. 247
Paulland, UT 27039",Benin,169-17-3795
6,Johnathan Sampson,customer6@example.com,414.639.3368x3187,"PSC 5006, Box 7603
APO AP 18463",Madagascar,121-88-4850
7,Daniel Roberts,customer7@example.com,671-471-1383x3607,"8384 Green Lane
Brandontown, IL 44244",Northern Mariana Islands,717-55-3511
8,Kimberly Allen,customer8@example.com,796-234-7313x39820,"50709 Melissa Valley Apt. 526
South Kimberlyhaven, KS 28737",Kuwait,418-85-9673
9,Jeremiah Hernandez,customer9@example.com,001-739-585-1455x536,"28425 Raymond Falls Apt. 200
Debbiefurt, CO 82473",Norway,257-59-3501
10,Adam Johnson,customer10@example.com,+1-272-703-0461x26781,"68442 William Junctions
South Johnhaven, SC 78693",Western Sahara,572-70-4659
11,Michael Smith MD,customer11@example.com,001-166-173-7666x203,"767 Lindsey Turnpike Suite 865
Amandaborough, MI 02933",Madagascar,035-70-6877
12,Michael Murphy,customer12@example.com,669-754-3647x438,"Unit 7017 Box 5130
DPO AE 34319",French Southern Territories,210-38-3766
13,Jessica Thomas,customer13@example.com,+1-090-793-9863,"7877 Perez Row
Amandastad, AL 70030",Vietnam,534-95-6545
14,Paul Johnson,customer14@example.com,060.787.0659x339,,Brunei Darussalam,505-73-8854
15,Daniel Miller,customer15@example.com,400-945-8934x532,"1828 Willie Court Suite 477
East Susanville, OH 88356",Trinidad and Tobago,207-87-4379
16,Brandon Kelly,customer16@example.com,+1-790-214-2302x757,"988 Peter Fork
Silvafort, KS 92301",Liberia,567-24-9242
17,Jeffrey Pearson,customer17@example.com,2286654128,"25710 April Knolls Suite 599
Lake Jesus, WV 84804",Honduras,100-67-8599
18,Rachel Valenzuela,customer18@example.com,001-915-583-9127x4482,"USNS Reed
FPO AP 31617",Zambia,605-20-7271
