staff_id,hotel_id,full_name,designation,salary,hire_date
1024,8,Staff 1024,Chef,99936.0,2019-04-26
1025,85,\N,Receptionist,86095.72,2018-10-03
1026,28,Staff 1026,Security,64411.51,2021-08-22
1027,88,Staff 1027,Receptionist,74322.81,2021-02-09
1028,15,Staff 1028,Chef,57922.33,2019-09-07
1029,46,Staff 1029,Manager,76250.46,2018-09-12
1030,34,Staff 1030,Manager,75570.1,2021-01-03
1031,49,Staff 1031,\N,92950.97,2022-08-16
1032,41,Staff 1032,\N,92444.67,2017-10-06
1033,71,Staff 1033,Receptionist,42998.34,2022-09-06
1034,70,Staff 1034,\N,87780.58,2023-04-01
1035,17,\N,Receptionist,57605.16,2022-08-07
1036,77,Staff 1036,\N,50064.42,2016-05-16
1037,43,Staff 1037,Housekeeping,87191.7,2022-12-19
1038,38,Staff 1038,Security,68017.78,2015-09-12
1039,69,Staff 1039,Receptionist,54515.66,2023-10-27
1040,31,Staff 1040,Manager,36460.86,2016-06-14
1041,43,Staff 1041,Receptionist,74649.97,2020-03-25
1042,46,Staff 1042,Manager,81902.06,2016-02-09
1043,80,Staff 1043,Housekeeping,23222.19,2017-03-31
1044,37,\N,Housekeeping,63561.15,2015-12-23
1045,86,Staff 1045,\N,29211.32,2017-09-17
1046,89,Staff 1046,Security,62844.79,2018-04-20
1047,93,Staff 1047,Chef,97263.04,2025-04-10
1048,79,Staff 1048,Security,69144.74,2023-05-28
1049,79,\N,\N,65703.72,2020-05-22
1050,16,Staff 1050,Receptionist,48366.77,2016-06-09
1051,57,Staff 1051,\N,66960.24,2015-12-21
1052,11,Staff 1052,Manager,83287.71,2022-06-27
1053,60,Staff 1053,Manager,27731.73,2017-08-21
1054,89,Staff 1054,Receptionist,66192.46,2020-10-12
1055,42,\N,Manager,90716.97,2019-02-16
1056,66,Staff 1056,\N,55578.96,2024-11-25
1057,97,Staff 1057,Manager,94295.11,2017-04-18
1058,24,Staff 1058,Housekeeping,58794.32,2021-12-19
